RA,DEC,Vmag
54.11634,-3.6328943,8.5
54.12003,23.797293,8.62
54.122375,-52.7777,7.66
54.122414,48.192635,4.32
54.125595,-78.323074,6.29
54.125988,21.780203,8.89
54.12717,-34.78953,8.87
54.128487,10.185406,9.26
54.129044,16.678286,9.47
54.139866,73.661804,8.24
54.142025,-2.8164692,9.0
54.16176,-13.318604,9.67
54.165936,29.224031,6.53
54.17458,75.74343,8.24
54.176373,-39.38367,9.37
54.179096,12.474373,8.93
54.181236,-52.01451,9.44
54.184246,-83.44915,8.87
54.18712,13.291834,8.45
54.19304,-7.1212635,9.85
54.19553,34.34759,6.88
54.195488,44.07713,9.03
54.195984,4.474364,8.75
54.19704,0.5877577,5.82
54.198895,-14.0993805,8.07
54.207455,-22.484936,8.41
54.21003,-77.08992,8.19
54.209717,70.78951,10.17
54.214245,-33.78067,6.93
54.21826,0.40166163,4.29
54.22252,-49.95801,7.62
54.227,-17.875294,10.17
54.22854,-36.081566,9.39
54.22889,35.052074,7.46
54.23425,-68.438126,7.8
54.235157,-28.137644,10.93
54.24177,23.21107,6.72
54.242096,-28.131456,8.86
54.250076,-38.285587,9.62
54.250114,74.63924,9.7
54.25108,50.940315,11.52
54.255978,-41.527645,9.67
54.260323,15.822426,10.11
54.264004,-53.077858,8.01
54.265697,-40.8972,8.59
54.269253,-36.292225,7.24
54.26966,47.261448,7.68
54.273666,-40.274544,4.57
54.279617,53.772144,9.35
54.279957,31.12524,7.79
54.28341,53.983253,8.51
54.28324,-0.3545431,9.73
54.28431,65.35361,8.1
54.287914,-29.830114,7.3
54.290833,-17.87654,8.21
54.293217,-38.42427,9.1
54.29599,25.991096,7.28
54.3082,49.557533,10.1
54.308735,-44.472027,8.55
54.316826,-70.54452,9.73
54.32226,-46.30209,9.52
54.322323,-33.264797,9.1
54.32323,47.34825,9.18
54.32683,-33.860176,8.01
54.32962,73.083534,9.29
54.33118,54.546257,9.48
54.33267,-30.183084,8.32
54.335197,62.934494,8.04
54.336185,15.0954075,8.24
54.339016,-34.64967,8.37
54.341892,69.50183,9.35
54.343567,40.538094,7.81
54.343975,3.2733963,10.42
54.344536,18.596884,8.73
54.347008,40.08975,7.01
54.350857,-80.85427,8.36
54.350975,-46.979027,8.73
54.366367,31.120224,6.96
54.367676,-42.469543,8.53
54.368366,-9.664121,9.19
54.372593,-66.524506,8.64
54.380657,-33.949642,8.56
54.386593,28.4418,9.16
54.386833,45.054134,8.49
54.392265,65.80767,8.55
54.395725,21.343174,9.35
54.3973,6.3803244,10.05
54.39833,-0.3150279,9.96
54.40026,-80.860466,9.11
54.409336,43.558178,8.29
